timestamp -- motor_step_command,mfc1_stpt,mfc2_stpt,mfc3_stpt,led1_stpt,led2_stpt,ft_posx,ft_posy,ft_heading,ft_frame,ft_error,ft_roll,ft_pitch,ft_yaw
02/21/2020-15:32:10.782304 -- 799968,0.5946909227154145,0.0,0.0059096778851861174,0.0,0.0,0.093838118530575,-0.16038632116511398,0.24819652187988,2,5536.5506976744,-0.032665701315623,0.026185294019825,-0.14458663595442
02/21/2020-15:32:10.797925 -- 799950,0.5947522108160954,0.0,0.005848389784505175,0.0,0.0,0.18916155221721603,-0.262431008798883,0.38744075166384,3,5915.3171806167,-0.022398997212426,0.040843610178102,-0.13924422978396
02/21/2020-15:32:10.813546 -- 799932,0.5947895249268345,0.0,0.005811075673766204,0.0,0.0,0.24086108339276402,-0.32455900317927,0.52691629812957,4,6045.0595238095,-0.010983822224407,0.024623538312008,-0.13947554646573
02/21/2020-15:32:10.829178 -- 799915,0.5948476275216299,0.0,0.005752973078970745,0.0,0.0,0.35253933253020003,-0.42129982351371,0.66235480126001,5,5812.3743760399,-0.0058617314597395,0.048936343793062,-0.13543850313044
02/21/2020-15:32:10.844789 -- 799898,0.594907610249352,0.0,0.0056929903512485825,0.0,0.0,0.4163218051107,-0.52117106517111,0.79561269936778,6,5937.7308641975,-0.010675025709909,0.038058961724144,-0.13325789810777
02/21/2020-15:32:10.860410 -- 799886,0.5949465192610315,0.0,0.005654081339569087,0.0,0.0,0.44314208827338,-0.58595456961747,0.89026547365586,7,6105.4520325203,-0.0076942071056264,0.022077804696144,-0.094652774288085
02/21/2020-15:32:10.876033 -- 799876,0.5950222089794333,0.0,0.005578391621167357,0.0,0.0,0.5032654420689,-0.7119779507563501,0.97329390848486,8,6536.0024077047,-0.0089694749519691,0.045683878493442,-0.083028434828995
02/21/2020-15:32:10.891659 -- 799872,0.5950166670573556,0.0,0.005583933543245015,0.0,0.0,0.5268127111704599,-0.70275065049705,1.0016844993317,9,6498.6352201258,0.0082455615705359,0.0017560580986163,-0.028390590846828
02/21/2020-15:32:10.907275 -- 799873,0.5950205053420254,0.0,0.005580095258575141,0.0,0.0,0.5484824133697199,-0.70914139447239,0.99127950622906,10,6250.395280236,0.0049071183344184,0.0057125945265722,0.010404993102623
02/21/2020-15:32:10.922896 -- 799876,0.5950286498926648,0.0,0.005571950707935825,0.0,0.0,0.56025101681766,-0.7227020712868499,0.97023303044371,11,6514.4492968172,0.00074456809829937,0.0059387026713713,0.021046475785356
02/21/2020-15:32:10.938518 -- 799880,0.5950144898863785,0.0,0.00558611071422215,0.0,0.0,0.54778415097153,-0.69912566082012,0.93805351888196,12,6320.7643171806,0.0011546212314492,-0.0088149435459848,0.032179511561744
02/21/2020-15:32:10.954149 -- 799884,0.5950175888556107,0.0,0.005583011744989916,0.0,0.0,0.5062816231059,-0.70428544459179,0.90709716962572,13,6047.4638728324,-0.012066931508488,-0.006981854400895,0.030956349256248
02/21/2020-15:32:10.969779 -- 799888,0.5949888100631929,0.0,0.0056117905374077175,0.0,0.0,0.51862584015216,-0.65636875521615,0.87385996224994,14,5849.2462093863,0.013246430724163,-0.0098284665568914,0.033237207375774
02/21/2020-15:32:10.985383 -- 799888,0.5949871778961636,0.0,0.005613422704436979,0.0,0.0,0.50624852028792,-0.6536511971124299,0.8726923740339,15,5766.6523297491,-0.0025803006342276,-0.0033443422190801,0.0011675882160408
02/21/2020-15:32:11.001011 -- 799889,0.5949794332790368,0.0,0.005621167321563844,0.0,0.0,0.51078783236658,-0.6407564095962,0.86950214443715,16,5680.2083333333,0.0039256079325607,-0.0023139064868238,0.0031902295967475
02/21/2020-15:32:11.016674 -- 799887,0.5950046448080375,0.0,0.005595955792563141,0.0,0.0,0.52224681159312,-0.68273360538237,0.88608516092846,17,5673.341218638,-0.0060005263173075,0.01320512107984,-0.016583016491304
02/21/2020-15:32:11.032246 -- 799885,0.5950034949405777,0.0,0.005597105660022925,0.0,0.0,0.5223302563521299,-0.68081907606183,0.89573802927197,18,5808.5577060932,0.00042285536926137,-0.00047878924968731,-0.0096528683435132
02/21/2020-15:32:11.047866 -- 799884,0.5950050757277189,0.0,0.005595524872881682,0.0,0.0,0.5279826819064201,-0.6834510866519999,0.90631568909672,19,5610.9168458781,0.00093244961756604,0.0018574945379162,-0.010577659824754
02/21/2020-15:32:11.063488 -- 799886,0.5950042859075761,0.0,0.005596314693024421,0.0,0.0,0.53707457093397,-0.68213603611434,0.89117699181294,20,5653.7333333333,0.0026445469547169,0.0015438284904465,0.015138697283784
02/21/2020-15:32:11.079112 -- 799887,0.5949931231597033,0.0,0.005607477440897322,0.0,0.0,0.53591044751244,-0.6635500609059599,0.88515952900495,21,5262.8573476703,0.0036071411239324,-0.005051858129448,0.0060174628079917
02/21/2020-15:32:11.110351 -- 799886,0.5950116666787211,0.0,0.0055889339218795015,0.0,0.0,0.50275728959163,-0.69442502007063,0.89018683665433,22,5218.6107526882,-0.015067548900801,0.0010066317397679,-0.0050273076493833
02/21/2020-15:32:11.125973 -- 799887,0.5950115638898472,0.0,0.005589036710753448,0.0,0.0,0.51454094854086,-0.69425387659551,0.88523318530549,23,5473.4210903874,0.0030825910036724,0.002434996438738,0.0049536513488397
02/21/2020-15:32:11.141594 -- 799887,0.5950151819032721,0.0,0.005585418697328493,0.0,0.0,0.5025436357181999,-0.70027786894806,0.87992627402192,24,5415.2360114778,-0.0043642340445229,-0.00098913802037343,0.0053069112835729
02/21/2020-15:32:11.157215 -- 799893,0.5950255573975449,0.0,0.005575043203055645,0.0,0.0,0.478194528078,-0.71755306691235,0.83985815648792,25,5295.3511560694,-0.0099084464431876,-0.00093258968270549,0.040068117533997
02/21/2020-15:32:11.172837 -- 799901,0.595008356339638,0.0,0.005592244260962618,0.0,0.0,0.34375097420748,-0.68891330549724,0.77515659905204,26,5030.9224579371,-0.025786103913619,-0.037884587515958,0.064701557435881
02/21/2020-15:32:11.188459 -- 799921,0.594979030706438,0.0,0.005621569894162619,0.0,0.0,0.0256039710764112,-0.64008612621924,0.61862486435229,27,4990.0084226646,-0.055638452830376,-0.091857028296217,0.15653173469975
